2025-04-01 12:42:40,907 INFO: Start GA optimization 
2025-04-01 21:16:06,391 INFO: GA optimization finished 
2025-04-01 21:16:06,437 INFO: ====================Start training===================== 
2025-04-01 21:16:25,474 INFO: Epoch 0, Val_Loss: 1.2084 
2025-04-01 21:16:46,096 INFO: Epoch 1, Val_Loss: 1.2244 
2025-04-01 21:17:09,387 INFO: Epoch 2, Val_Loss: 0.9534 
2025-04-01 21:17:31,278 INFO: Epoch 3, Val_Loss: 0.9874 
2025-04-01 21:17:50,790 INFO: Epoch 4, Val_Loss: 1.0516 
2025-04-01 21:18:10,894 INFO: Epoch 5, Val_Loss: 0.9682 
2025-04-01 21:18:27,971 INFO: Epoch 6, Val_Loss: 0.9670 
2025-04-01 21:18:44,587 INFO: Epoch 7, Val_Loss: 0.9549 
2025-04-01 21:19:01,492 INFO: Epoch 8, Val_Loss: 0.9698 
2025-04-01 21:19:18,161 INFO: Epoch 9, Val_Loss: 0.9633 
2025-04-01 21:19:34,937 INFO: Epoch 10, Val_Loss: 1.0581 
2025-04-01 21:19:53,160 INFO: Epoch 11, Val_Loss: 1.0649 
2025-04-01 21:20:13,606 INFO: Epoch 12, Val_Loss: 1.2241 
2025-04-01 21:20:32,598 INFO: Epoch 13, Val_Loss: 1.0846 
2025-04-01 21:20:49,692 INFO: Epoch 14, Val_Loss: 0.9487 
2025-04-01 21:21:10,723 INFO: Epoch 15, Val_Loss: 0.9324 
2025-04-01 21:21:29,501 INFO: Epoch 16, Val_Loss: 1.0314 
2025-04-01 21:21:46,180 INFO: Epoch 17, Val_Loss: 1.1214 
2025-04-01 21:22:02,991 INFO: Epoch 18, Val_Loss: 1.1673 
2025-04-01 21:22:19,596 INFO: Epoch 19, Val_Loss: 1.1195 
2025-04-01 21:22:36,416 INFO: Epoch 20, Val_Loss: 1.0581 
2025-04-01 21:22:54,627 INFO: Epoch 21, Val_Loss: 1.1421 
2025-04-01 21:23:14,642 INFO: Epoch 22, Val_Loss: 0.9929 
2025-04-01 21:23:34,308 INFO: Epoch 23, Val_Loss: 0.9689 
2025-04-01 21:23:53,583 INFO: Epoch 24, Val_Loss: 0.9473 
2025-04-01 21:24:10,342 INFO: Epoch 25, Val_Loss: 1.0973 
2025-04-01 21:24:26,983 INFO: Epoch 26, Val_Loss: 0.9097 
2025-04-01 21:24:43,580 INFO: Epoch 27, Val_Loss: 0.9070 
2025-04-01 21:25:00,374 INFO: Epoch 28, Val_Loss: 0.9366 
2025-04-01 21:25:17,012 INFO: Epoch 29, Val_Loss: 1.0785 
2025-04-01 21:25:36,995 INFO: Epoch 30, Val_Loss: 0.9239 
2025-04-01 21:25:56,733 INFO: Epoch 31, Val_Loss: 0.9301 
2025-04-01 21:26:16,826 INFO: Epoch 32, Val_Loss: 1.0034 
2025-04-01 21:26:35,619 INFO: Epoch 33, Val_Loss: 0.9009 
2025-04-01 21:26:52,911 INFO: Epoch 34, Val_Loss: 0.9117 
2025-04-01 21:27:10,788 INFO: Epoch 35, Val_Loss: 0.9086 
2025-04-01 21:27:27,394 INFO: Epoch 36, Val_Loss: 0.9060 
2025-04-01 21:27:43,886 INFO: Epoch 37, Val_Loss: 0.8764 
2025-04-01 21:28:00,592 INFO: Epoch 38, Val_Loss: 0.9569 
2025-04-01 21:28:17,251 INFO: Epoch 39, Val_Loss: 0.8985 
2025-04-01 21:28:37,381 INFO: Epoch 40, Val_Loss: 0.9508 
2025-04-01 21:28:57,183 INFO: Epoch 41, Val_Loss: 0.9921 
2025-04-01 21:29:16,749 INFO: Epoch 42, Val_Loss: 0.9132 
2025-04-01 21:29:36,445 INFO: Epoch 43, Val_Loss: 0.8882 
2025-04-01 21:29:53,451 INFO: Epoch 44, Val_Loss: 0.8838 
2025-04-01 21:30:10,170 INFO: Epoch 45, Val_Loss: 0.8909 
2025-04-01 21:30:26,845 INFO: Epoch 46, Val_Loss: 1.1011 
2025-04-01 21:30:43,411 INFO: Epoch 47, Val_Loss: 0.9688 
2025-04-01 21:31:01,510 INFO: Epoch 48, Val_Loss: 0.9046 
2025-04-01 21:31:18,076 INFO: Epoch 49, Val_Loss: 0.9289 
2025-04-01 21:31:34,716 INFO: Epoch 50, Val_Loss: 0.8776 
2025-04-01 21:31:51,363 INFO: Epoch 51, Val_Loss: 0.8959 
2025-04-01 21:32:08,056 INFO: Epoch 52, Val_Loss: 1.2491 
2025-04-01 21:32:24,713 INFO: Epoch 53, Val_Loss: 0.9798 
2025-04-01 21:32:45,158 INFO: Epoch 54, Val_Loss: 0.9310 
2025-04-01 21:33:04,899 INFO: Epoch 55, Val_Loss: 0.9070 
2025-04-01 21:33:23,735 INFO: Epoch 56, Val_Loss: 0.8898 
2025-04-01 21:33:40,448 INFO: Epoch 57, Val_Loss: 0.9129 
2025-04-01 21:33:57,127 INFO: Epoch 58, Val_Loss: 0.8822 
