2025-04-02 10:00:10,680 INFO: Load model weights from ga_optimized_weights.pth 
2025-04-02 10:00:11,721 INFO: ====================Start training===================== 
2025-04-02 10:00:32,405 INFO: Epoch 0, Val_Loss: 1.1300 
2025-04-02 10:00:48,536 INFO: Epoch 1, Val_Loss: 1.3293 
2025-04-02 10:01:05,019 INFO: Epoch 2, Val_Loss: 1.0396 
2025-04-02 10:01:21,957 INFO: Epoch 3, Val_Loss: 0.9854 
2025-04-02 10:01:39,677 INFO: Epoch 4, Val_Loss: 0.9619 
2025-04-02 10:01:56,738 INFO: Epoch 5, Val_Loss: 1.0392 
2025-04-02 10:02:12,631 INFO: Epoch 6, Val_Loss: 0.9495 
2025-04-02 10:02:28,396 INFO: Epoch 7, Val_Loss: 1.0526 
2025-04-02 10:02:49,454 INFO: Epoch 8, Val_Loss: 1.0508 
2025-04-02 10:03:10,281 INFO: Epoch 9, Val_Loss: 1.0101 
2025-04-02 10:03:27,730 INFO: Epoch 10, Val_Loss: 0.9570 
2025-04-02 10:03:47,020 INFO: Epoch 11, Val_Loss: 1.0147 
2025-04-02 10:04:05,288 INFO: Epoch 12, Val_Loss: 0.9574 
2025-04-02 10:04:22,801 INFO: Epoch 13, Val_Loss: 0.9663 
2025-04-02 10:04:42,971 INFO: Epoch 14, Val_Loss: 1.0056 
2025-04-02 10:05:03,111 INFO: Epoch 15, Val_Loss: 1.1051 
2025-04-02 10:05:19,589 INFO: Epoch 16, Val_Loss: 0.9901 
2025-04-02 10:05:35,236 INFO: Epoch 17, Val_Loss: 1.0714 
2025-04-02 10:05:51,968 INFO: Epoch 18, Val_Loss: 1.1780 
2025-04-02 10:06:07,846 INFO: Epoch 19, Val_Loss: 1.0042 
2025-04-02 10:06:24,495 INFO: Epoch 20, Val_Loss: 1.0091 
2025-04-02 10:06:40,155 INFO: Epoch 21, Val_Loss: 1.0292 
2025-04-02 10:06:56,974 INFO: Epoch 22, Val_Loss: 0.9293 
2025-04-02 10:07:16,510 INFO: Epoch 23, Val_Loss: 0.9785 
2025-04-02 10:07:36,769 INFO: Epoch 24, Val_Loss: 1.0677 
2025-04-02 10:07:59,257 INFO: Epoch 25, Val_Loss: 0.9113 
2025-04-02 10:08:36,544 INFO: Epoch 26, Val_Loss: 1.0352 
2025-04-02 10:08:59,895 INFO: Epoch 27, Val_Loss: 0.9228 
2025-04-02 10:09:22,686 INFO: Epoch 28, Val_Loss: 0.9844 
2025-04-02 10:09:45,018 INFO: Epoch 29, Val_Loss: 0.9046 
